business_name,niche,area,phone,email,website_status,presence_links,fit_note,source_url
Bos Garage Auto Repair,auto_repair,"Bryan TX (1617 Briarcrest Dr)",(979) 906-0924,,none,"Google Maps listing only","Independent repair garage; no website, no social links on place page","https://www.google.com/maps/search/Bos+Garage+Auto+Repair+TX"
Brazos Valley Automotive,auto_repair,"College Station TX (1702 Ponderosa Dr)",(979) 680-1234,,none,"Google Maps listing only","Independent auto repair shop; no website or socials on place page","https://www.google.com/maps/search/Brazos+Valley+Automotive+TX"
Bryan Muffler & Performance,auto_repair,"Bryan TX (1309 S College Ave)",(979) 822-2612,,none,"Google Maps listing only","Muffler and performance shop; no website or socials on place page","https://www.google.com/maps/search/Bryan+Muffler+%26+Performance+TX"
Limitless Diesel & Offroad,auto_repair,"College Station TX (4011 Hicks Ln)",(979) 209-9668,,none,"Google Maps listing only","Diesel repair and offroad shop; no website or socials on place page","https://www.google.com/maps/search/Limitless+Diesel+%26+Offroad+TX"
The Feed Barn,restaurant,"Bryan TX (2017 Fountain Ave)",(979) 822-9488,,none,"Facebook page (facebook.com/thefeedbarnbcs)","Independent diner; no website, Facebook only on place page","https://www.google.com/maps/place/The+Feed+Barn"
Casa Monarca Mexican Cantina,restaurant,"Bryan TX (206 W 26th St)",(979) 810-0179,,none,"Google Maps listing only","Independent Mexican restaurant; no website or socials on place page","https://www.google.com/maps/place/Casa+Monarca+Mexican+Cantina"
Sodolaks Beefmasters Restaurant,restaurant,"Bryan TX (3500 E State Hwy 21)",(979) 778-4999,,none,"Facebook page (facebook.com/pages/Sodolaks-Beefmasters-Restaurant)","Independent steakhouse; no website, Facebook only on place page","https://www.google.com/maps/place/Sodolaks+Beefmasters+Restaurant"
Bavarian Brauhaus,restaurant,"Bryan TX (109 N Main St)",(979) 775-4014,,none,"Google Maps listing only","Independent German restaurant/brewery; no website or socials on place page","https://www.google.com/maps/place/Bavarian+Brauhaus"
The Remnant Of Nawlins,restaurant,"Bryan TX (1416 Groesbeck St)",(979) 218-3362,,none,"Google Maps listing only","Independent Cajun restaurant; no website or socials on place page","https://www.google.com/maps/place/The+Remnant+Of+Nawlins"
Taqueria San Francisco,restaurant,"Bryan TX (600 N Bryan Ave)",(979) 571-8580,,none,"Google Maps listing only","Independent taqueria; no website or socials on place page","https://www.google.com/maps/place/Taqueria+San+Francisco"
La Familia,restaurant,"Bryan TX (300 N Texas Ave)",(979) 822-9192,,none,"Directory listing only (poi.place)","Independent Mexican restaurant; only third-party directory listing, no own website or socials","https://www.google.com/maps/place/La+Familia"
Arriaga's Taqueria,restaurant,"Bryan TX (1401 N Texas Ave)",(979) 721-1500,,none,"Google Maps listing only","Independent taqueria; only Google review link on place page, no website or socials","https://www.google.com/maps/place/Arriaga%27s+Taqueria"
Boardwalk Salon & Spa,salon,"Bryan TX (4340 Carter Creek Pkwy Ste 100)",(979) 260-7726,,none,"Booking platform only (glossgenius.com)","Independent salon; only GlossGenius booking page, no own website or socials","https://www.google.com/maps/place/Boardwalk+Salon+%26+Spa"
Star Salon,salon,"Bryan TX (3731 E 29th St)",(979) 260-1995,,none,"Google Maps listing only","Independent salon; no website or socials on place page","https://www.google.com/maps/place/Star+Salon"
A Wild Salon and Co,salon,"Bryan TX (4301 Carter Creek Pkwy)",(979) 260-8900,,none,"Instagram page (instagram.com/awildhairsalonandco)","Independent salon; no website, Instagram only on place page","https://www.google.com/maps/place/A+Wild+Salon+and+Co"
Elegance Salon & Spa,salon,"Bryan TX (3811 E 29th St)",(979) 268-4383,,none,"Google Maps listing only","Independent salon; no website or socials on place page","https://www.google.com/maps/place/Elegance+Salon+%26+Spa"
Neff's Majestic Hair Studio,salon,"Bryan TX (4341 Wellborn Rd)",(979) 260-0980,,none,"Facebook page (facebook.com/Neffs.Majestic.Hair.Studio)","Independent salon; no website, Facebook only on place page","https://www.google.com/maps/place/Neff%27s+Majestic+Hair+Studio"
S H 21 Hair Salon,salon,"Bryan TX (1399 San Jacinto Ln)",(979) 703-6368,,none,"Google Maps listing only","Independent salon; no website or socials on place page","https://www.google.com/maps/place/S+H+21+Hair+Salon"
